level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	11	2	3107	403	21	13	81.102760	OR
5	1	1	1	11	3	3141	403	48	13	80.796463	SONIC.
5	1	1	1	11	4	3203	403	56	13	93.248909	SIGNAL
5	1	1	1	11	5	4326	389	15	14	1.109886	A
5	1	1	1	11	6	4486	392	50	13	87.414551	NEEDLE
5	1	1	1	11	7	4546	392	41	13	87.414551	VALVE
5	1	1	1	11	8	4665	375	52	51	75.231598	/\
5	1	1	1	12	1	2848	418	53	7	0.000000	TT
5	1	1	1	12	2	2909	413	8	30	0.000000	~
5	1	1	1	12	3	2943	420	76	18	59.581318	(WITHOUT
5	1	1	1	12	4	3031	422	54	12	93.948013	WIRING
5	1	1	1	12	5	3099	422	21	12	95.503792	OR
5	1	1	1	12	6	3133	420	65	18	94.138252	TUBING)
5	1	1	1	12	7	3815	419	29	29	29.402065	7)
5	1	1	1	12	8	3995	423	25	13	95.354172	MAC
5	1	1	1	12	9	4031	423	71	13	95.354172	CONVEYOR
5	1	1	1	12	10	4112	423	31	13	94.732513	WITH
5	1	1	1	12	11	4154	423	36	13	94.732513	SPILL
5	1	1	1	12	12	4325	412	46	43	28.559694	&
5	1	1	1	12	13	4490	428	68	12	89.421173	PRESSURE
5	1	1	1	12	14	4569	428	76	12	89.421173	REGULATOR
5	1	1	1	13	1	2818	445	101	14	28.129129	sebeee
5	1	1	1	13	2	2943	450	38	13	66.931625	HEAT
5	1	1	1	13	3	2993	450	67	13	94.255051	TRACING
5	1	1	1	13	4	3995	442	39	13	96.807388	CHAIN
5	1	1	1	14	1	2943	469	137	13	86.201019	E=ELECTRICALLY
5	1	1	1	14	2	3091	469	62	13	95.502480	TRACED
5	1	1	1	14	3	3749	465	60	41	22.586235	ce
5	1	1	1	14	4	3995	489	89	12	60.611015	VIBROFEEDER
5	1	1	1	14	5	4308	462	40	37	65.415451	vk
5	1	1	1	14	6	4495	477	48	12	96.294006	SAFETY
5	1	1	1	14	7	4553	477	41	12	93.112358	VALVE
5	1	1	1	14	8	4605	477	17	12	93.112358	OR
