level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	28	2	385	1199	75	14	89.224594	FEEDER
5	1	1	1	28	3	487	1199	10	14	89.578239	#C
5	1	1	1	28	4	947	1199	57	14	80.419067	VIBRO
5	1	1	1	28	5	1019	1199	74	14	80.419067	FEEDER
5	1	1	1	28	6	1121	1199	11	14	41.930832	#D
5	1	1	1	29	1	231	1207	44	24	75.390511	(unt
5	1	1	1	29	2	287	1208	16	23	79.742668	2)
5	1	1	1	29	3	325	1216	52	17	26.027454	FE
5	1	1	1	29	4	391	1199	94	34	0.000000	Teese
5	1	1	1	29	5	959	1216	52	17	0.000000	PPS
5	1	1	1	29	6	1025	1199	94	34	6.792459	VEER
5	1	1	1	29	7	1103	1195	24	48	16.903172	SP?
5	1	1	1	29	8	1141	1207	44	24	66.868782	(UNIT
5	1	1	1	29	9	1197	1208	16	23	66.868782	2)
5	1	1	1	30	1	582	1244	133	13	0.000000	f1520-E-MT—18
5	1	1	1	30	2	730	1244	121	13	77.357903	11520-E-MT-1
5	1	1	1	31	1	400	1288	115	138	53.556564	le
5	1	1	1	31	2	925	1288	111	138	21.485586	Bh
5	1	1	1	32	1	229	1425	61	43	63.771496	MA]
5	1	1	1	32	2	373	1429	119	28	12.249622	CAA
5	1	1	1	32	3	952	1429	57	28	46.565498	VN)
5	1	1	1	32	4	1051	1429	20	20	31.120125	|e
5	1	1	1	32	5	1159	1429	57	28	70.491684	KA]
5	1	1	1	33	1	307	1479	80	18	90.271255	M-TP16
5	1	1	1	33	2	399	1484	8	8	89.259079	¢
5	1	1	1	33	3	436	1454	60	51	21.004353	a)
5	1	1	1	33	4	508	1479	61	27	30.690374	=
5	1	1	1	33	5	603	1481	50	19	57.342033	vi88
5	1	1	1	33	6	798	1472	142	38	13.030577	visg——_
5	1	1	1	33	7	952	1458	57	28	51.956741	4
5	1	1	1	33	8	1038	1484	7	8	0.000000	@
5	1	1	1	33	9	1061	1473	80	18	81.448021	M-TP17
5	1	1	1	34	1	322	1518	87	38	10.478201	\V523H¥®
5	1	1	1	34	2	461	1507	60	49	51.154076	aN
5	1	1	1	34	3	920	1507	64	64	0.000000	(By)
5	1	1	1	34	4	1035	1522	83	24	9.570045	#V522H
5	1	1	1	35	1	245	1537	164	36	2.445011	71118-523K-HCY—15)
5	1	1	1	35	2	467	1541	52	32	54.784130	any
5	1	1	1	35	3	1035	1537	169	37	0.000000	71118-522H-HCY=15,
5	1	1	1	36	1	604	1668	59	17	96.775024	FROM
5	1	1	1	36	2	683	1668	59	17	95.757301	COAL
5	1	1	1	36	3	805	1668	59	17	95.923447	FROM
5	1	1	1	36	4	884	1668	59	17	81.475754	COAL
5	1	1	1	37	1	630	1693	85	17	0.000000	stiodc
5	1	1	1	37	2	831	1693	55	17	55.252529	suo
5	1	1	1	37	3	906	1693	11	17	75.535324	R
