provider,model,condition,evidence_score,feeder_identity,upstream_connection,outlet_calibration,motor_joint_separation,duration_sec,input_tokens,cache_creation_input_tokens,cached_input_tokens,output_tokens,reported_cost_usd,comparison_cost_usd,cost_basis,model_usage_keys,review_note,raw_path
claude,sonnet,crop-guided,3,1,1,0,1,25.377,4,9044,52946,2127,0.06944420000000001,0.06944420000000001,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Careful about joint meaning but still narrates a downstream route to the FROM COAL SILO C line,experiments/single-image-prompt/results/deep-reading-v2/raw/claude-sonnet-crop-guided.json
claude,sonnet,crop-short,3,1,1,0,1,18.156,4,8809,52711,1091,0.0578892,0.0578892,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Reads tag and bin; states a downstream path to FROM COAL SILO C,experiments/single-image-prompt/results/deep-reading-v2/raw/claude-sonnet-crop-short.json
claude,sonnet,full-short,3,1,1,0,1,31.836,6,14929,79603,2318,0.09998860000000001,0.09998860000000001,claude_cli_reported,claude-haiku-4-5-20251001|claude-sonnet-5,Correct feeder and bin; overextends the lower connection toward Coal Silo/Feeder/Pulverizer,experiments/single-image-prompt/results/deep-reading-v2/raw/claude-sonnet-full-short.json
codex,luna,crop-guided,3,1,1,0,1,,16897,0,8960,918,,0.0028682,openai_api_equivalent_estimate,,Separates motor/joint evidence but still gives a directional interpretation toward Coal Silo C,experiments/single-image-prompt/results/deep-reading-v2/raw/codex-luna-crop-guided.jsonl
codex,luna,crop-short,3,1,1,0,1,,16761,0,8960,585,,0.0024414,openai_api_equivalent_estimate,,Reads local labels but interprets the lower line as continuing toward FROM COAL SILO C,experiments/single-image-prompt/results/deep-reading-v2/raw/codex-luna-crop-short.jsonl
codex,luna,full-short,4,1,1,1,1,,34734,0,24064,844,,0.00362808,openai_api_equivalent_estimate,,"Uses full context to identify feeder, bin, downstream equipment, and joint uncertainty",experiments/single-image-prompt/results/deep-reading-v2/raw/codex-luna-full-short.jsonl
codex,terra,crop-guided,3,0,1,1,1,,39784,0,27136,1162,,0.0446672,openai_api_equivalent_estimate,,Misreads Unit 1 tag but appropriately leaves the exact lower equipment unresolved,experiments/single-image-prompt/results/deep-reading-v2/raw/codex-terra-crop-guided.jsonl
codex,terra,crop-short,2,0,1,0,1,,18421,0,9984,943,,0.0301868,openai_api_equivalent_estimate,,Misreads Unit 1 tag as 03B and overinterprets the lower connection,experiments/single-image-prompt/results/deep-reading-v2/raw/codex-terra-crop-short.jsonl
codex,terra,full-short,3,0,1,1,1,,17756,0,9984,459,,0.0230488,openai_api_equivalent_estimate,,Correct context but misreads the feeder tag as M-FE-03C,experiments/single-image-prompt/results/deep-reading-v2/raw/codex-terra-full-short.jsonl
