provider,model,image,width,height,evidence_score,bin_tag,outlet_valve,feeder_tag,motor_tag,tokens_reported,review_note
claude,sonnet,assets/full/J-11520-ZM-105-005_page-001.png,4963,3509,4,1,1,1,1,,"네 항목과 연결 관계를 정확히 확인함; Feeder tag 뒤에 Unit 1을 명시함"
codex,luna,assets/full/J-11520-ZM-105-005_page-001.png,4963,3509,4,1,1,1,1,16903,"네 항목과 연결 관계를 정확히 확인함; 실행 중 Tesseract와 ffmpeg crop을 사용해 원본을 추가 확인함"
codex,terra,assets/full/J-11520-ZM-105-005_page-001.png,4963,3509,4,1,1,1,1,29075,"네 항목과 연결 관계를 정확히 확인함; 실행 중 부분 crop을 시도함"
